scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,margin_mean,margin_q05,margin_q50,margin_q95,psi_mean,psi_q05,psi_q50,psi_q95,p_secure,p_transition,p_insecure
transition_margin,113.0,0.10416396075556021,0.09887922907719703,0.10432596627212737,0.1092018435110506,-0.01081316683170137,-0.041867200851336925,-0.01198063761272045,0.022274840876152,-0.09830151665183064,-0.38061091683033565,-0.10891488738836773,0.20249855341956363,0.3,0.08,0.62
transition_margin,114.0,0.1051695122377012,0.09892636430292238,0.10542578820571907,0.11010788729443804,-0.01702153578624801,-0.04734164074417206,-0.018784999047381016,0.02197438837624333,-0.15474123442043644,-0.430378552219746,-0.17077271861255466,0.1997671670567575,0.16,0.04666666666666667,0.7933333333333333
transition_margin,115.0,0.1051464683495688,0.10024091337592961,0.10537341573269089,0.10999266785377605,-0.016923290915565447,-0.046647217909274084,-0.018461863672860016,0.01362269347064565,-0.15384809923241313,-0.42406561735703713,-0.1678351242987274,0.12384266791496044,0.17333333333333334,0.06666666666666667,0.76
transition_margin,116.0,0.10541391711183268,0.10070702838588039,0.1055829056248036,0.11045878286372683,-0.018571739826713465,-0.049456128036050914,-0.01975390203908445,0.010674704244659092,-0.16883399842466787,-0.44960116396409927,-0.17958092762804045,0.0970427658605372,0.16,0.07333333333333333,0.7666666666666667
transition_margin,117.0,0.10629098146014455,0.1010683984497748,0.10589714046297266,0.11223944694668482,-0.023933437589845726,-0.060127797285829475,-0.021689865160072267,0.008394045160724901,-0.21757670536223386,-0.5466163389620862,-0.19718059236429333,0.07630950146113546,0.1,0.04666666666666667,0.8533333333333334
transition_margin,118.0,0.10625536817848538,0.10144024300827485,0.10589714046297266,0.1111919974861213,-0.02373048704176801,-0.05386154699721933,-0.021689865160072267,0.006051346818842881,-0.2157317003797092,-0.4896504272474485,-0.19718059236429333,0.05501224380766255,0.09333333333333334,0.05333333333333334,0.8533333333333334
transition_margin,119.0,0.10706609406096156,0.1015449879543312,0.1071540798156489,0.11213470200062847,-0.028695088038277177,-0.059502606241373455,-0.029403034061717463,0.0053922589693009915,-0.2608644367116107,-0.540932784012486,-0.26730030965197693,0.049020536084554464,0.09333333333333334,0.006666666666666667,0.9
elevated_pressure,0.0,0.13625873627157323,0.1309852374839538,0.13628583654257595,0.14154899443731278,-0.20246595722689945,-0.2304532124673711,-0.20274840123502655,-0.17415944974378136,-1.8405996111536311,-2.0950292042488283,-1.8431672839547868,-1.583267724943467,0.0,0.0,1.0
elevated_pressure,1.0,0.13625445728141494,0.13061617458279845,0.1360183996576808,0.14175224646983312,-0.20242541908039566,-0.2315102130217525,-0.2013226290117632,-0.17214269185760642,-1.840231082549051,-2.1046383001977502,-1.8302057182887563,-1.5649335623418765,0.0,0.0,1.0
elevated_pressure,2.0,0.13656682356297248,0.13081942661531878,0.13660676080445014,0.14180038510911425,-0.2040933493067378,-0.23176041686264112,-0.20445697181342024,-0.17325367378263162,-1.8553940846067076,-2.106912880569465,-1.8586997437583657,-1.575033398023924,0.0,0.0,1.0
