replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
115,0.06583445602128782,0.058856878015124854,0.8178703963031219,0.17154327518132068,1.115443587760677,2.434426828518474,1.4820954495300966
116,0.0655699982483332,0.0573500608469575,0.8668900488344418,0.19008848055659472,1.1417850442999806,2.609340993882221,1.2914101779929597
117,0.06528666009640824,0.05233117917629853,0.9407288418991154,0.19679845057035072,1.2063431461640346,2.8240487859808154,1.2343935874942757
118,0.06660377232991889,0.055455718226453184,0.8224079907838356,0.1920748649259355,1.1630896280723404,2.497477142605846,1.407032983698377
119,0.06452523769265003,0.05233299780059185,0.9840923158440114,0.17930187949258916,1.0542400881718859,2.855312809401423,1.2426638344442411
120,0.0650049536634584,0.05800170192305625,0.8752203683163071,0.16741438853758336,1.1239106572622997,2.733872960296339,1.3268121230264611
121,0.06354217779507361,0.05740821767400206,0.9817589900775094,0.19433545521122825,1.2085806321870802,2.766536769642177,1.2465344189900824
122,0.0632134845211175,0.05902400524445246,0.9516184790678561,0.1865966851406903,1.0365738634788637,2.8481938668460383,1.3756308857705397
123,0.06297283957289267,0.05977442096675997,0.9727570622865123,0.1778710423005623,0.993974606197479,2.8393981858458335,1.2781602275999902
124,0.06427302490213677,0.056547651763408216,0.9392472016501776,0.17940134868283722,1.0313884308735128,2.7658969210784474,1.312524992907111
125,0.06535950886702953,0.0519862705362428,0.9630339710646315,0.19545421228052126,1.007067222121569,2.4624089769896838,1.3297312352748074
126,0.06652715569959387,0.05282064842914225,0.9050628583433827,0.16256292246309836,0.9944419375055742,2.389150027609225,1.2226701915866631
127,0.06765770332701182,0.051839376767731316,0.8147469110735059,0.189389721692507,1.0567395277815657,2.471560303775065,1.3803301274181317
128,0.06461049765298872,0.0581712620094563,0.9444366372009524,0.19278327342038729,1.133924556083709,2.3578675565259113,1.2635939502223512
129,0.06657878538315788,0.05297561506894197,0.8771175987265017,0.16215803485708893,1.1239837883604724,2.455847584941353,1.3209835899023727
130,0.06511648438192995,0.059894861465974704,0.852728974405259,0.1714419908061876,1.1614868985537492,2.424210132287205,1.4561301364909751
131,0.06747053608732743,0.0501911292963877,0.8234666643625169,0.18796687033393367,0.9924117303008838,2.6836997431883893,1.4079631932732983
132,0.06683179397569228,0.051559364862416475,0.8435787867206286,0.17946174960335662,1.0531412505688458,2.6920858805685866,1.4051666088912647
133,0.0629215322202481,0.05979152619807124,0.9589338730363256,0.19232789289427207,1.2095348370579257,2.6937039648392815,1.4706734075555987
134,0.06568258214849979,0.05158676793804001,0.8952788439592602,0.17907765818292742,1.1919454170966286,2.7848386103282934,1.4619607986316054
135,0.0674461441834718,0.0522212899395499,0.8216959595041866,0.1714352748029269,1.06625996415775,2.518638830281343,1.3585867568301928
136,0.06563973956697444,0.05149816328648544,0.9414155536385342,0.1738276112873094,1.070165018025227,2.4301050957556702,1.4238083807479807
137,0.06377479086662248,0.05789167482567944,0.9814110829763822,0.1787057082119729,1.1005951524138002,2.5636157343299217,1.2507277760326725
138,0.06583314412232158,0.05344493096572721,0.8710688918341191,0.17975649786946127,1.0360163000749216,2.7981674628410818,1.3874445251238396
139,0.06660832023256949,0.05328316236256699,0.8538704426006476,0.1879373143868345,1.126003947830139,2.520309214897819,1.3832083284035177
140,0.06748897148489297,0.050654446829945014,0.8225123455256558,0.17007223600407664,1.1688262745225426,2.613396254356919,1.4122223549692903
141,0.06321735088258695,0.059768349865787905,0.9779244209459977,0.17311951080695714,1.1278550877962328,2.7149518130632027,1.2293969922508208
142,0.06494861942173502,0.058665575005276395,0.8805749738929982,0.16487286437778326,1.1332868787573853,2.5860073472285134,1.3514760827815693
143,0.06700628950983138,0.05396527742504476,0.8287957094087495,0.19247839722968701,0.9900663722109087,2.6784775843865036,1.2273460389570285
144,0.06279336709382408,0.05959412088843427,0.9561410284229023,0.18738305481578754,1.1935231918583749,2.831512460159669,1.4687666197288824
145,0.06591451777861096,0.05691754906440259,0.8580612401568062,0.1840919276389022,1.1634498788124097,2.4132099828304274,1.3773851908721673
146,0.06589509966346395,0.05358023080243268,0.8559454945957072,0.19745776201476137,1.0517046396509773,2.847146747633114,1.4117617191058187
147,0.06595616585824703,0.05336496282579365,0.8630840157108695,0.17288597059900762,1.14860747909202,2.8121148434165137,1.3879094041742275
148,0.06667812047988886,0.05305844191565282,0.8443923116954996,0.17371146578893332,1.0187611945840414,2.5738586520686435,1.4057403469737624
149,0.06471071363585852,0.06030037362171521,0.8399654154763588,0.193257750311563,1.141438839858097,2.754561108724778,1.444030346382923
150,0.06606890267241428,0.05629677651808025,0.8375623013117809,0.19118173763594393,1.2052292616725038,2.790829433992048,1.2575369931034148
151,0.06597578126940234,0.05335582849515453,0.9098211155238647,0.1686024533391608,1.0329652522266712,2.462390407927561,1.311463308104993
152,0.0661093608155659,0.055425824432475464,0.8817895158004454,0.16265721158229193,1.0553487946645368,2.497287999922839,1.2344073296385238
153,0.06476706837130332,0.057959148194996216,0.9225347711141677,0.19634456810161027,1.018396574692025,2.3672082936396284,1.3541932267078645
154,0.06643496351516097,0.050174084975866666,0.923585216013157,0.19146905974832315,1.1482401413443668,2.5424694189920674,1.2670650707439366
155,0.0655594846175084,0.05151565895163172,0.943868722552145,0.1924837620223942,1.153567707389896,2.5091012116377014,1.382809301375163
156,0.06485822592862796,0.057054294611943744,0.8671327821396627,0.17619675117148534,1.0876948719162598,2.842164316522607,1.4476755503511813
157,0.06524150068572089,0.054230905153457874,0.898041873464018,0.18610896957911902,1.0069726572548894,2.810582500948282,1.3695301262812853
158,0.06625176940109175,0.054323654606769196,0.8508058378563821,0.1625368855819791,1.0873357893565474,2.7825116368881586,1.2887322524043643
159,0.0654330844941848,0.056157841019558834,0.8415334707072152,0.17958682075333715,1.0348493236415146,2.855515655459337,1.4559520788029774
160,0.06631176422607715,0.04995318889341586,0.9010109053664725,0.16582999184087469,1.1789043060343376,2.7243812880599005,1.3652814546111354
161,0.06691826444584037,0.049843038040893406,0.8869962310511749,0.18584362345099806,1.10227130697867,2.615363414225708,1.294369145271295
