t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
94.0,0.075,0.16,0.015,10000,9547,0.09933027405946271,0.10024091337592961,0.01362269347064565,0.19268068503194724,0.12384266791496044,-0.2924151490563545,0.005027757410704936,secure,transition_margin,65
95.0,0.075,0.16,0.015,10000,9547,0.09948763831957651,0.10327851681156384,-0.005465532220826744,0.19495888760867292,-0.0496866565529704,-0.012046508674195086,0.0002094898921127103,insecure,transition_margin,65
96.0,0.075,0.16,0.015,10000,9547,0.09966088779298538,0.10065989316015503,0.01097246156232273,0.1929949198701163,0.09974965056657027,0.18406380132229638,-0.003194720854718759,secure,transition_margin,65
97.0,0.075,0.16,0.015,10000,9547,0.09984977794521846,0.09688907510212633,0.03502850407007846,0.19016680632659477,0.3184409460916224,0.0210981370070236,-0.00036660731119723955,secure,transition_margin,65
98.0,0.075,0.16,0.015,10000,9547,0.10005402137179145,0.09992667853776055,0.015614051703867923,0.19244500890332045,0.14194592458061747,-0.15429430876268743,0.0026709961244369973,secure,transition_margin,65
99.0,0.075,0.16,0.015,10000,9547,0.10027328858596223,0.10223106735100032,0.0010837561422872254,0.19417330051325027,0.009852328566247502,0.05156573488332175,-0.0008903320414789945,transition,transition_margin,65
100.0,0.075,0.16,0.015,10000,9547,0.10050720892183118,0.09814601445480256,0.02695851337819871,0.19110951084110195,0.24507739434726097,0.05699516967435647,-0.0009950769875353566,secure,transition_margin,65
101.0,0.075,0.16,0.015,10000,9547,0.10075537155031064,0.10024091337592961,0.01362269347064565,0.19268068503194724,0.12384266791496044,-0.23868613631734031,0.004189797842254109,secure,transition_margin,65
102.0,0.075,0.16,0.015,10000,9547,0.10101732660517888,0.10652561013931078,-0.025552436611616162,0.19739420760448312,-0.23229487828741965,0.14348470133345417,-0.002461506232324287,insecure,transition_margin,65
103.0,0.075,0.16,0.015,10000,9547,0.10129258641613212,0.09531790091128103,0.04518932776400557,0.1889884256834608,0.4108120705818688,0.14200545090006536,-0.002513878705352468,secure,transition_margin,65
104.0,0.075,0.16,0.015,10000,9547,0.10158062684545496,0.10149785272860584,0.005688762586398218,0.19362338954645442,0.051716023512711075,-0.2657677787630046,0.0046087776264795224,secure,transition_margin,65
105.0,0.075,0.16,0.015,10000,9547,0.10188088872464542,0.10453545616424008,-0.01327958356385545,0.1959015921231801,-0.12072348694414045,-0.08621975522842576,0.0015188017178171184,insecure,transition_margin,65
106.0,0.075,0.16,0.015,10000,9547,0.10219277938705693,0.10453545616424008,-0.01327958356385545,0.1959015921231801,-0.12072348694414045,0.15251123775051284,-0.0026709961244369973,insecure,transition_margin,65
107.0,0.075,0.16,0.015,10000,9547,0.10251567429235643,0.09919346391536608,0.020272888741257374,0.1918950979365246,0.18429898855688523,0.0029513805979466193,-5.2372473028181044e-05,secure,transition_margin,65
108.0,0.075,0.16,0.015,10000,9547,0.10284891873834599,0.10443071121818372,-0.012630279832307193,0.19582303341363783,-0.11482072574824721,-0.14955985715256623,0.0026186236514088163,insecure,transition_margin,65
109.0,0.075,0.16,0.015,10000,9547,0.10319182965545605,0.10443071121818372,-0.012630279832307193,0.19582303341363783,-0.11482072574824721,0.09226280575035384,-0.0016235466638734666,insecure,transition_margin,65
110.0,0.075,0.16,0.015,10000,9547,0.10354369747899159,0.10118361789043678,0.007667537432770651,0.19338771341782762,0.06970488575246046,0.02366654871807044,-0.0004189797842254067,secure,transition_margin,65
